DevanagariCode,HKReal
0x902,M
0x903,H
0x905,a
0x906,A
0x907,i
0x908,I
0x909,u
0x90a,U
0x90f,e
0x910,ai
0x913,o
0x914,au
0x90b,R
0x960,RR
0x90c,lR
0x961,lRR
0x915,k
0x916,kh
0x917,g
0x918,gh
0x919,G
0x91a,ch
0x91b,chh
0x91c,j
0x91d,jh
0x91e,J
0x91f,T
0x920,Th
0x921,D
0x922,Dh
0x923,N
0x924,t
0x925,th
0x926,d
0x927,dh
0x928,n
0x92a,p
0x92b,ph
0x92c,b
0x92d,bh
0x92e,m
0x92f,y
0x930,r
0x932,l
0x933,L
0x935,v
0x936,z
0x937,S
0x938,s
0x939,h
0x93d,'
0x93e,A
0x93f,i
0x940,I
0x941,u
0x942,U
0x947,e
0x948,ai
0x94b,o
0x94c,au
0x943,R
0x944,RR
0x962,lR
0x963,lRR
